 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,436.570,13.822,367,530
2,51984,426.448,12.296,371,507
3,51984,426.440,12.475,357,515
4,51984,426.449,12.406,371,503
5,51984,426.711,12.513,369,515
6,51984,426.268,12.454,368,499
7,51984,426.432,12.475,358,528
8,51984,426.465,12.388,362,514
9,51984,426.454,12.472,366,503
10,51984,426.464,12.541,373,511
11,51984,426.491,12.438,363,509
12,51984,426.615,12.414,373,503
13,51984,426.500,12.444,373,517
14,51984,426.422,12.420,362,503
15,51984,426.419,12.412,372,502
16,51984,426.416,12.480,369,497
17,51984,426.597,12.412,354,514
18,51984,426.497,12.524,375,510
19,51984,426.402,12.474,353,519
20,51984,426.225,12.504,371,508
21,51984,426.479,12.401,353,505
22,51984,426.462,12.459,369,522
23,51984,426.250,12.433,361,512
24,51984,426.421,12.493,371,522
25,51984,426.295,12.431,364,497
26,51984,426.435,12.379,369,508
27,51984,426.360,12.459,367,501
28,51984,426.120,12.403,371,501
29,51984,426.520,12.492,370,520
30,51984,426.366,12.471,367,506
31,51984,426.201,12.439,366,520
32,51984,426.256,12.441,366,503
33,51984,426.437,12.415,374,511
34,51984,426.494,12.521,369,532
35,51984,426.444,12.390,379,503
36,51984,426.606,12.505,373,513
37,51984,426.509,12.407,362,528
38,51984,426.549,12.404,358,511
39,51984,426.466,12.517,372,513
40,51984,426.384,12.462,374,512
41,51984,426.396,12.432,373,510
42,51984,426.517,12.385,372,498
43,51984,426.398,12.436,374,517
44,51984,426.583,12.525,366,534
45,51984,426.497,12.334,355,502
46,51984,426.257,12.463,373,497
47,51984,426.401,12.370,377,495
48,51984,426.270,12.491,371,510
49,51984,426.402,12.413,373,503
50,51984,426.488,12.490,361,518
51,51984,426.477,12.440,373,514
52,51984,426.323,12.303,357,516
53,51984,426.515,12.477,373,516
54,51984,426.366,12.487,375,522
55,51984,426.379,12.502,363,512
56,51984,426.447,12.486,369,511
57,51984,426.415,12.363,376,497
58,51984,426.489,12.396,372,512
59,51984,426.363,12.453,365,499
60,51984,426.551,12.484,369,517
61,51984,426.466,12.406,371,514
62,51984,426.477,12.357,371,505
63,51984,426.380,12.426,375,509
64,51984,426.460,12.365,365,508
65,51984,426.177,12.363,369,513
66,51984,426.538,12.479,369,512
67,51984,426.520,12.477,372,501
68,51984,426.659,12.451,366,500
69,51984,426.410,12.279,370,521
70,51984,426.295,12.367,364,500
71,51984,426.290,12.405,352,497
72,51984,426.349,12.491,369,513
73,51984,426.542,12.442,359,504
74,51984,426.333,12.444,360,516
