 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,444.585,14.575,376,542
2,51984,434.774,13.853,370,512
3,51984,434.822,13.767,385,517
4,51984,434.826,13.75,373,532
5,51984,434.689,13.768,369,518
6,51984,434.72,13.749,378,515
7,51984,434.632,13.838,367,524
8,51984,434.686,13.822,369,517
9,51984,434.633,13.667,378,509
10,51984,434.635,13.649,358,519
11,51984,434.702,13.779,376,507
12,51984,434.695,13.788,371,520
13,51984,434.628,13.78,378,521
14,51984,434.563,13.846,379,525
15,51984,434.711,13.78,365,514
16,51984,434.616,13.794,364,520
17,51984,434.517,13.818,381,527
18,51984,434.681,13.812,372,517
19,51984,434.596,13.683,375,500
20,51984,434.74,13.883,374,517
21,51984,434.443,13.817,372,531
22,51984,434.551,13.774,373,512
23,51984,434.651,13.804,373,515
24,51984,434.306,13.794,371,525
25,51984,434.399,13.673,377,514
26,51984,434.414,13.761,375,506
27,51984,434.62,13.74,367,523
28,51984,434.492,13.685,371,515
29,51984,434.633,13.813,374,529
30,51984,434.544,13.767,371,518
31,51984,434.611,13.743,354,518
32,51984,434.591,13.679,370,523
33,51984,434.578,13.796,372,522
34,51984,434.46,13.867,380,512
35,51984,434.581,13.753,368,524
36,51984,434.34,13.753,377,512
37,51984,434.61,13.649,377,516
38,51984,434.459,13.71,376,521
39,51984,434.315,13.756,365,519
40,51984,434.44,13.74,368,526
41,51984,434.433,13.789,367,516
42,51984,434.608,13.745,368,527
43,51984,434.543,13.812,380,515
44,51984,434.498,13.746,375,513
45,51984,434.503,13.731,359,509
46,51984,434.466,13.771,367,519
47,51984,434.55,13.783,370,520
48,51984,434.762,13.728,373,521
49,51984,434.46,13.653,376,514
50,51984,434.45,13.678,369,517
51,51984,434.435,13.709,364,515
52,51984,434.309,13.699,372,518
53,51984,434.165,13.654,363,519
54,51984,434.453,13.726,370,522
55,51984,434.566,13.766,375,505
56,51984,434.504,13.664,360,506
57,51984,434.39,13.761,375,521
58,51984,434.451,13.734,369,522
59,51984,434.407,13.815,364,524
60,51984,434.518,13.822,370,533
61,51984,434.246,13.668,374,517
62,51984,434.406,13.836,378,526
63,51984,434.363,13.777,374,516
64,51984,434.36,13.771,368,516
65,51984,434.324,13.754,376,534
66,51984,434.482,13.739,368,530
67,51984,434.228,13.679,368,514
68,51984,434.384,13.766,373,529
69,51984,434.443,13.849,360,517
70,51984,434.497,13.804,376,513
71,51984,434.239,13.893,381,522
72,51984,434.433,13.802,366,519
73,51984,434.221,13.818,376,517
74,51984,434.061,13.696,375,505
75,51984,434.269,13.841,369,552
76,51984,434.752,13.776,370,517
77,51984,434.421,13.816,372,530
78,51984,434.372,13.819,373,521
79,51984,434.325,13.719,375,514
80,51984,434.21,13.721,369,519
81,51984,434.188,13.741,372,515
82,51984,434.462,13.694,360,535
83,51984,434.345,13.751,364,524
84,51984,434.297,13.652,369,515
85,51984,434.264,13.79,377,520
86,51984,434.355,13.774,374,521
87,51984,434.487,13.741,372,523
88,51984,434.499,13.775,369,521
89,51984,434.493,13.82,368,516
90,51984,434.371,13.787,371,529
91,51984,434.312,13.748,375,519
92,51984,434.406,13.697,368,521
93,51984,434.39,13.741,373,511
94,51984,434.446,13.745,374,521
95,51984,434.204,13.697,370,519
96,51984,434.181,13.802,374,518
97,51984,434.377,13.85,361,517
98,51984,434.461,13.773,371,536
99,51984,434.401,13.759,373,524
100,51984,434.175,13.776,365,507
101,51984,434.284,13.726,375,526
102,51984,434.09,13.753,368,520
103,51984,434.383,13.767,374,526
104,51984,434.419,13.672,371,522
105,51984,434.355,13.656,376,516
106,51984,434.39,13.821,369,530
107,51984,434.303,13.761,375,515
108,51984,434.166,13.653,380,517
109,51984,434.295,13.775,360,522
110,51984,434.381,13.765,372,519
111,51984,434.436,13.731,378,512
112,51984,434.3,13.669,376,507
113,51984,434.325,13.744,373,508
114,51984,434.285,13.741,370,510
115,51984,434.338,13.788,364,524
