 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,451.177,14.056,393,549
2,51984,441.999,13.293,377,535
3,51984,441.616,13.246,378,530
4,51984,441.879,13.196,381,528
5,51984,441.716,13.169,377,519
6,51984,441.748,13.272,380,538
7,51984,441.693,13.263,382,524
8,51984,441.458,13.250,374,549
9,51984,441.867,13.237,381,541
10,51984,441.563,13.192,381,521
11,51984,441.608,13.257,362,535
12,51984,441.642,13.224,377,526
13,51984,441.548,13.081,373,520
14,51984,441.593,13.110,368,521
15,51984,441.402,13.277,372,545
16,51984,441.692,13.241,375,531
17,51984,441.337,13.203,376,519
18,51984,441.559,13.064,377,510
19,51984,441.566,13.126,373,520
20,51984,441.788,13.270,377,530
21,51984,441.403,13.192,387,513
22,51984,441.534,13.251,371,537
23,51984,441.452,13.122,387,524
24,51984,441.350,13.144,380,522
25,51984,441.725,13.200,378,516
26,51984,441.554,13.233,376,516
27,51984,441.535,13.203,373,531
28,51984,441.557,13.151,374,530
29,51984,441.452,13.178,372,526
30,51984,441.337,13.156,384,529
31,51984,441.487,13.203,379,534
32,51984,441.531,13.088,375,533
33,51984,441.543,13.313,384,524
34,51984,441.438,13.176,379,511
35,51984,441.475,13.158,375,534
36,51984,441.555,13.181,376,522
37,51984,441.450,13.162,358,525
38,51984,441.377,13.216,376,526
39,51984,441.534,13.190,382,520
40,51984,441.418,13.223,371,522
41,51984,441.576,13.131,379,528
42,51984,441.435,13.292,379,520
43,51984,441.277,13.185,374,529
44,51984,441.625,13.177,376,518
45,51984,441.548,13.166,379,536
46,51984,441.590,13.173,376,534
47,51984,441.413,13.188,384,531
48,51984,441.439,13.140,379,529
49,51984,441.326,13.151,369,526
50,51984,441.450,13.194,381,530
51,51984,441.434,13.238,371,530
52,51984,441.292,13.087,383,519
53,51984,441.346,13.251,362,524
54,51984,441.317,13.160,380,521
55,51984,441.158,13.180,375,529
56,51984,441.311,13.266,379,524
57,51984,441.499,13.205,379,528
58,51984,441.309,13.213,381,525
59,51984,441.360,13.089,383,534
60,51984,441.381,13.128,374,526
61,51984,441.454,13.168,384,529
62,51984,441.306,13.128,384,514
63,51984,441.262,13.081,380,548
64,51984,441.388,13.126,384,524
65,51984,441.113,13.133,374,527
66,51984,441.388,13.256,375,523
67,51984,441.348,13.144,381,526
68,51984,441.361,13.150,372,539
69,51984,441.267,13.149,383,533
70,51984,441.298,13.159,374,527
71,51984,441.196,13.233,365,512
72,51984,441.279,13.329,381,534
73,51984,441.143,13.253,374,552
74,51984,441.171,13.297,354,532
75,51984,441.182,13.163,379,519
76,51984,441.312,13.158,375,529
77,51984,441.273,13.094,375,526
78,51984,441.186,13.252,378,530
79,51984,441.307,13.166,372,529
80,51984,441.213,13.156,370,523
81,51984,441.132,13.202,380,517
82,51984,441.176,13.115,380,514
83,51984,441.026,13.067,382,514
84,51984,441.138,13.087,387,513
85,51984,441.431,13.131,378,537
86,51984,441.175,13.103,356,527
87,51984,441.302,13.165,380,536
88,51984,441.358,13.140,377,516
89,51984,441.138,13.177,374,537
90,51984,441.053,13.281,357,533
91,51984,441.222,13.128,383,518
92,51984,441.315,13.168,374,521
93,51984,441.106,13.195,374,523
94,51984,441.193,13.224,379,530
95,51984,441.212,13.216,368,521
96,51984,440.973,13.259,369,525
97,51984,441.142,13.255,373,522
98,51984,441.160,13.210,379,518
99,51984,441.153,13.186,382,527
100,51984,441.350,13.194,379,536
101,51984,441.133,13.157,384,524
102,51984,441.151,13.033,385,513
103,51984,441.336,13.132,363,543
104,51984,441.393,13.046,374,519
105,51984,441.126,13.155,381,522
106,51984,441.148,13.118,379,530
107,51984,441.196,13.163,379,516
108,51984,441.170,13.039,391,525
109,51984,441.168,13.081,379,516
110,51984,441.360,13.050,384,519
111,51984,441.186,13.183,383,537
112,51984,441.122,13.163,379,553
113,51984,441.222,13.106,386,522
114,51984,441.100,13.309,374,548
115,51984,440.965,13.262,379,544
116,51984,441.274,13.182,380,531
117,51984,441.221,13.196,378,554
118,51984,441.189,13.140,370,521
119,51984,441.182,13.213,373,524
120,51984,441.010,13.054,387,533
121,51984,440.962,13.169,378,527
122,51984,441.145,13.076,376,528
123,51984,440.985,13.197,383,523
124,51984,441.028,13.219,381,531
125,51984,441.142,13.073,369,541
126,51984,441.077,13.248,377,527
127,51984,441.056,13.187,384,520
128,51984,441.034,13.161,380,515
129,51984,441.320,13.183,382,536
130,51984,440.858,13.239,366,522
131,51984,441.042,13.011,370,523
132,51984,441.162,13.241,379,522
133,51984,441.216,13.112,380,519
134,51984,440.917,13.140,372,521
135,51984,440.874,13.210,372,514
136,51984,440.923,13.042,373,542
137,51984,441.139,13.255,381,537
138,51984,440.929,13.196,365,529
139,51984,440.988,13.174,370,548
140,51984,440.966,13.166,368,518
141,51984,441.025,13.183,375,517
142,51984,440.866,13.090,362,516
143,51984,440.863,13.139,369,519
144,51984,441.072,13.117,381,526
145,51984,441.204,13.202,382,528
146,51984,440.875,13.010,380,530
147,51984,441.206,13.243,383,524
148,51984,441.046,13.222,381,558
149,51984,441.036,13.268,381,539
150,51984,441.004,13.133,384,532
151,51984,440.936,13.152,376,529
152,51984,440.990,13.106,383,518
153,51984,440.969,13.183,368,520
154,51984,440.864,13.109,385,520
155,51984,441.128,13.241,376,527
156,51984,441.075,13.161,373,525
157,51984,440.963,13.206,357,524
158,51984,440.899,13.116,381,546
159,51984,441.058,13.210,360,549
160,51984,441.039,13.105,379,527
161,51984,441.154,13.251,377,528
162,51984,441.013,13.218,384,550
163,51984,440.912,13.213,378,556
164,51984,440.902,13.163,380,520
165,51984,441.380,13.108,370,515
166,51984,441.079,13.162,379,514
167,51984,440.977,13.212,379,548
168,51984,440.885,13.138,380,524
169,51984,440.958,13.064,385,542
170,51984,441.055,13.246,373,525
171,51984,441.071,13.277,379,529
172,51984,440.898,13.008,378,518
173,51984,441.114,13.064,375,519
174,51984,441.081,13.141,379,524
175,51984,440.921,13.218,382,522
176,51984,441.014,13.061,382,522
177,51984,440.837,13.203,382,531
178,51984,440.897,13.173,385,522
179,51984,440.978,13.199,375,531
180,51984,441.041,13.141,383,512
181,51984,440.916,13.049,386,539
182,51984,440.911,13.117,380,539
183,51984,440.926,13.148,366,530
184,51984,441.031,13.175,382,524
185,51984,440.806,13.177,378,529
186,51984,440.928,13.106,388,534
187,51984,441.088,13.180,374,515
188,51984,440.911,13.069,376,526
189,51984,441.006,13.153,369,535
190,51984,441.050,13.317,366,524
191,51984,440.741,13.134,356,529
192,51984,441.095,13.238,384,520
193,51984,440.921,13.089,374,524
194,51984,440.898,13.184,375,525
195,51984,440.885,13.117,380,537
196,51984,440.831,13.286,367,531
197,51984,440.863,13.247,381,521
198,51984,440.781,13.085,385,525
199,51984,440.736,12.998,375,528
200,51984,441.011,13.081,372,526
201,51984,440.828,13.088,375,522
202,51984,440.854,13.025,387,516
203,51984,440.824,13.141,375,521
204,51984,440.756,13.161,377,530
205,51984,440.786,13.077,377,544
206,51984,442.020,13.291,383,519
207,51984,435.533,13.061,376,521
208,51984,435.615,13.188,370,520
209,51984,6716.126,1013.412,1052,8674
210,51984,4726.792,525.142,850,5939
211,51984,1951.140,245.465,566,2630
212,51984,1196.667,519.999,469,2303
213,51984,907.233,332.754,433,1624
214,51984,674.792,138.735,420,1032
215,51984,518.773,53.457,406,706
216,51984,805.380,361.827,401,1685
217,51984,1308.620,825.387,415,3126
218,51984,965.724,446.117,399,1923
219,51984,698.729,190.748,416,1137
220,51984,822.974,298.716,417,1482
221,51984,746.642,232.838,409,1252
222,51984,565.326,74.609,411,810
223,51984,462.272,19.476,379,569
224,51984,462.334,19.810,391,567
225,51984,483.100,30.372,384,614
226,51984,446.987,13.958,378,530
227,51984,449.704,14.644,389,538
228,51984,448.320,13.967,383,536
229,51984,451.516,14.784,392,550
230,51984,446.432,14.039,378,529
231,51984,446.787,13.626,379,531
232,51984,445.146,13.551,383,523
233,51984,446.548,13.595,391,534
234,51984,443.771,13.566,381,532
235,51984,445.749,13.706,382,540
