 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,501.815,18.15,420,605
2,51984,491.814,17.497,402,590
3,51984,491.695,17.431,395,582
4,51984,492.051,17.426,414,583
5,51984,492.002,17.459,388,590
6,51984,492.056,17.468,417,582
7,51984,491.761,17.571,407,604
8,51984,491.728,17.4,412,589
9,51984,491.98,17.414,401,585
10,51984,491.861,17.457,405,587
11,51984,491.625,17.327,415,572
12,51984,491.786,17.478,410,577
13,51984,491.473,17.48,408,600
14,51984,491.391,17.56,408,594
15,51984,491.706,17.433,408,581
16,51984,491.376,17.435,407,589
17,51984,491.191,17.337,412,583
18,51984,491.19,17.277,413,582
19,51984,491.457,17.337,404,582
20,51984,491.178,17.315,387,577
21,51984,491.534,17.672,399,580
22,51984,491.187,17.373,415,592
23,51984,491.335,17.373,408,571
24,51984,491.298,17.437,405,575
25,51984,491.4,17.385,412,578
26,51984,491.13,17.462,413,588
27,51984,491.443,17.355,415,575
28,51984,491.174,17.383,412,585
29,51984,491.15,17.239,412,574
30,51984,491.015,17.429,405,580
31,51984,491.214,17.329,409,572
32,51984,490.732,17.289,405,565
33,51984,490.981,17.247,411,570
34,51984,490.994,17.355,405,586
35,51984,490.956,17.479,403,580
36,51984,490.951,17.475,413,570
37,51984,491.039,17.29,398,588
38,51984,490.654,17.324,415,574
39,51984,490.63,17.362,404,603
40,51984,490.451,17.234,414,592
41,51984,490.727,17.268,412,583
42,51984,490.643,17.268,397,576
43,51984,490.892,17.333,409,581
44,51984,490.348,17.422,408,592
45,51984,490.676,17.307,411,585
46,51984,490.496,17.4,399,587
47,51984,490.725,17.264,411,600
48,51984,490.7,17.301,414,580
49,51984,490.435,17.299,410,587
50,51984,490.444,17.391,394,585
51,51984,490.5,17.343,399,588
52,51984,490.454,17.415,413,580
53,51984,490.521,17.31,411,598
54,51984,490.36,17.362,386,569
55,51984,490.252,17.238,417,578
56,51984,490.372,17.382,408,583
57,51984,490.343,17.301,409,582
58,51984,489.872,17.226,407,581
59,51984,490.371,17.283,401,591
60,51984,490.232,17.396,414,600
61,51984,489.655,17.37,404,597
62,51984,490.223,17.354,409,582
63,51984,490.177,17.207,412,578
64,51984,490.193,17.314,412,579
65,51984,489.848,17.271,399,581
66,51984,489.958,17.34,398,577
67,51984,489.732,17.415,402,583
68,51984,489.641,17.254,394,574
69,51984,489.673,17.286,409,580
70,51984,489.793,17.354,402,595
71,51984,489.796,17.226,395,588
72,51984,489.558,17.335,398,591
73,51984,489.931,17.338,413,579
74,51984,489.616,17.15,411,593
75,51984,489.737,17.311,413,595
76,51984,489.384,17.249,415,574
77,51984,489.53,17.262,406,576
78,51984,489.632,17.184,413,586
79,51984,489.697,17.269,406,581
80,51984,489.185,17.269,398,575
81,51984,489.371,17.146,409,596
82,51984,489.375,17.312,405,586
83,51984,489.646,17.27,416,582
84,51984,489.556,17.251,415,589
85,51984,489.151,17.256,401,585
86,51984,489.492,17.117,408,585
87,51984,489.414,17.169,416,573
88,51984,488.994,17.146,406,580
89,51984,489.22,17.196,416,591
90,51984,489.061,17.149,406,569
91,51984,489.491,17.168,401,582
92,51984,489.092,17.177,407,592
93,51984,489.051,17.18,410,579
94,51984,489.187,17.158,402,589
95,51984,489.145,17.259,414,580
96,51984,488.998,17.204,392,582
97,51984,488.939,17.173,413,580
98,51984,488.614,17.302,407,577
99,51984,488.895,17.308,409,570
100,51984,488.514,17.206,403,570
101,51984,488.57,17.067,387,575
102,51984,488.972,17.158,412,575
103,51984,488.589,17.288,415,588
104,51984,488.854,17.152,410,572
105,51984,488.629,17.167,410,572
106,51984,488.283,17.086,413,584
107,51984,488.595,17.101,402,572
108,51984,488.858,17.079,410,587
109,51984,488.643,17.281,400,599
110,51984,488.618,17.015,396,584
111,51984,488.529,17.054,416,578
112,51984,488.506,16.925,413,585
113,51984,488.18,17.122,407,583
114,51984,488.314,17.176,409,586
115,51984,488.558,16.992,416,585
116,51984,488.176,17.042,414,577
