 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,437.931,13.882,375,643
2,51984,427.747,12.855,367,626
3,51984,427.664,13.037,371,657
4,51984,427.587,12.811,360,631
5,51984,427.735,12.855,371,641
6,51984,427.519,12.878,374,659
7,51984,427.569,12.838,374,657
8,51984,427.688,12.785,359,632
9,51984,427.572,12.777,367,622
10,51984,427.531,12.82,369,629
11,51984,427.428,12.801,370,635
12,51984,427.49,12.803,370,622
13,51984,427.463,12.78,366,631
14,51984,427.544,12.816,377,623
15,51984,427.504,12.784,368,644
16,51984,427.519,12.942,374,667
17,51984,427.778,12.784,366,643
18,51984,427.487,12.828,366,623
19,51984,427.585,12.81,369,612
20,51984,427.316,12.831,369,637
21,51984,427.472,12.812,373,637
22,51984,427.495,12.702,374,610
23,51984,427.403,12.792,376,643
24,51984,427.46,12.782,361,642
25,51984,427.413,12.768,371,626
26,51984,427.384,12.721,370,622
27,51984,427.257,12.748,372,634
28,51984,427.298,12.626,370,601
29,51984,427.63,12.82,364,640
30,51984,427.281,12.808,375,675
31,51984,427.228,12.82,371,586
32,51984,427.289,12.818,365,634
33,51984,427.26,12.674,370,627
34,51984,427.488,12.754,372,618
35,51984,427.36,12.749,363,623
36,51984,427.254,12.716,370,627
37,51984,427.207,12.693,376,624
38,51984,427.415,12.768,369,657
39,51984,427.347,12.788,365,616
40,51984,427.44,12.764,365,656
41,51984,427.284,12.765,371,635
42,51984,427.328,12.709,361,636
43,51984,427.261,12.804,356,649
44,51984,427.249,12.775,375,629
45,51984,427.087,12.728,374,633
46,51984,427.277,12.762,371,638
47,51984,427.174,12.725,369,635
48,51984,427.293,12.733,368,613
49,51984,427.199,12.752,357,648
50,51984,427.349,12.792,375,628
51,51984,427.204,12.614,367,625
52,51984,427.208,12.861,343,633
53,51984,427.114,12.747,370,627
54,51984,427.022,12.684,361,632
55,51984,427.416,12.732,369,644
56,51984,427.276,12.698,372,619
57,51984,427.198,12.748,360,619
58,51984,427.146,12.667,368,620
59,51984,427.098,12.827,364,640
60,51984,427.069,12.755,371,615
61,51984,427.24,12.727,364,616
62,51984,427.253,12.627,370,630
63,51984,427.118,12.719,373,643
64,51984,426.925,12.674,374,642
65,51984,427.057,12.657,371,629
66,51984,427.049,12.732,360,597
67,51984,427.19,12.711,373,613
68,51984,427.107,12.728,367,639
69,51984,427.086,12.774,362,623
70,51984,426.861,12.735,369,629
71,51984,426.951,12.785,353,648
72,51984,426.876,12.677,367,668
73,51984,427.003,12.659,369,618
74,51984,426.828,12.744,376,611
75,51984,426.976,12.689,367,601
76,51984,426.928,12.834,364,650
77,51984,426.823,12.712,375,631
78,51984,426.822,12.733,373,632
79,51984,426.939,12.684,366,634
80,51984,426.888,12.698,371,618
81,51984,426.993,12.729,366,633
82,51984,427.08,12.658,378,652
83,51984,427.007,12.74,364,634
84,51984,426.809,12.645,375,612
85,51984,426.762,12.644,370,614
86,51984,426.909,12.566,375,607
87,51984,426.909,12.863,373,649
88,51984,426.804,12.706,362,661
89,51984,426.872,12.757,371,644
90,51984,426.868,12.65,371,614
91,51984,426.835,12.569,375,615
92,51984,426.961,12.752,369,632
93,51984,426.851,12.624,369,618
94,51984,426.735,12.604,375,601
95,51984,426.906,12.747,369,627
96,51984,426.913,12.691,376,626
97,51984,426.816,12.65,369,623
98,51984,426.68,12.707,363,630
99,51984,426.874,12.638,376,612
100,51984,426.794,12.651,370,626
101,51984,426.71,12.563,374,630
102,51984,426.895,12.746,361,624
103,51984,426.659,12.744,374,620
104,51984,426.794,12.72,369,624
105,51984,426.737,12.737,367,621
106,51984,426.7,12.557,371,630
107,51984,426.589,12.606,367,607
108,51984,426.812,12.709,354,620
109,51984,426.962,12.727,368,644
110,51984,426.587,12.596,373,639
111,51984,426.515,12.583,374,623
112,51984,426.631,12.627,373,635
113,51984,426.661,12.694,361,651
114,51984,426.67,12.606,373,606
115,51984,426.45,12.533,376,596
116,51984,426.673,12.714,367,599
117,51984,426.526,12.711,367,641
118,51984,426.416,12.565,364,625
119,51984,426.644,12.732,370,670
120,51984,426.733,12.678,371,629
121,51984,426.6,12.613,373,634
122,51984,426.715,12.609,373,625
123,51984,426.772,12.687,363,620
124,51984,426.608,12.665,372,644
125,51984,426.646,12.714,361,633
126,51984,426.526,12.611,372,621
127,51984,426.682,12.606,370,628
128,51984,426.656,12.631,369,620
129,51984,426.537,12.568,366,614
130,51984,426.656,12.645,368,604
131,51984,426.679,12.604,374,625
132,51984,426.687,12.771,363,622
133,51984,426.575,12.565,372,643
134,51984,426.772,12.762,361,664
135,51984,426.825,12.773,374,612
136,51984,426.841,12.683,373,600
137,51984,426.764,12.596,367,605
138,51984,426.549,12.623,371,621
139,51984,426.568,12.684,364,644
140,51984,426.652,12.667,369,615
141,51984,426.828,12.662,375,606
142,51984,426.575,12.623,367,624
143,51984,426.53,12.649,374,636
144,51984,426.662,12.614,371,635
145,51984,426.538,12.516,369,639
146,51984,426.556,12.629,373,625
147,51984,426.599,12.489,371,598
148,51984,426.839,12.715,363,637
149,51984,426.564,12.772,366,628
150,51984,426.49,12.624,367,638
151,51984,426.385,12.52,365,602
152,51984,426.289,12.605,375,607
153,51984,426.29,12.448,373,630
154,51984,426.734,12.524,360,616
155,51984,426.559,12.561,363,614
156,51984,426.538,12.598,370,601
157,51984,426.58,12.673,367,628
158,51984,426.397,12.507,370,622
159,51984,426.417,12.635,364,603
160,51984,426.423,12.596,362,658
161,51984,426.377,12.589,374,627
162,51984,426.267,12.508,371,578
163,51984,426.656,12.626,367,636
164,51984,426.4,12.552,369,624
165,51984,426.668,12.484,369,627
166,51984,426.431,12.635,356,590
167,51984,426.435,12.555,363,626
168,51984,426.299,12.537,358,605
169,51984,426.405,12.533,370,638
170,51984,426.432,12.582,374,602
171,51984,426.364,12.518,369,587
172,51984,426.411,12.533,374,603
173,51984,426.635,12.674,359,624
174,51984,426.392,12.594,373,609
175,51984,426.411,12.582,373,662
176,51984,426.541,12.692,371,654
177,51984,426.395,12.621,363,636
178,51984,426.386,12.62,373,643
179,51984,426.53,12.536,374,613
180,51984,426.555,12.571,369,579
181,51984,426.216,12.538,369,605
182,51984,426.433,12.63,375,632
183,51984,426.218,12.501,365,607
184,51984,426.218,12.573,361,645
185,51984,426.39,12.631,354,591
186,51984,426.157,12.559,368,593
187,51984,426.073,12.594,362,583
188,51984,426.226,12.608,367,637
189,51984,426.164,12.548,373,656
190,51984,426.178,12.563,375,652
191,51984,426.188,12.461,370,614
192,51984,426.194,12.66,372,602
193,51984,426.217,12.511,365,600
194,51984,426.192,12.576,366,617
195,51984,426.203,12.603,377,613
196,51984,426.149,12.633,367,641
197,51984,426.353,12.505,373,605
198,51984,426.079,12.567,367,608
199,51984,426.176,12.558,364,590
200,51984,426.051,12.652,363,608
201,51984,426.267,12.577,369,617
202,51984,426.231,12.532,371,604
203,51984,426.443,12.55,372,599
204,51984,426.275,12.532,367,597
205,51984,426.193,12.47,373,607
206,51984,426.278,12.464,360,636
207,51984,426.378,12.521,374,602
208,51984,426.113,12.561,370,606
209,51984,430.336,13.058,366,609
210,51984,23616.674,2699.944,3319,31854
211,51984,12230.476,1281.275,1968,16579
212,51984,13264.869,1475.517,2082,15574
213,51984,12481.549,1603.341,2090,15052
214,51984,15865.667,2571.723,2830,20926
215,51984,8478.035,873.606,1520,10765
216,51984,7387.655,787.654,1218,8897
217,51984,3718.467,354.828,859,5542
218,51984,5489.301,564.728,1123,6675
219,51984,8054.668,826.164,1498,9907
220,51984,9146.958,1753.553,1722,12705
221,51984,6854.608,1694.606,1495,10090
222,51984,3953.985,423.059,845,4944
223,51984,3864.254,361.453,853,4478
224,51984,4851.718,649.733,983,6128
225,51984,4276.998,837.827,998,5910
226,51984,6961.59,1525.981,1469,10218
227,51984,3016.069,277.308,733,3799
228,51984,1183.755,118.533,473,2056
229,51984,1797.641,167.816,606,2299
230,51984,5424.666,603.35,993,6473
231,51984,3389.004,701.7,859,4744
232,51984,4339.235,1136.313,1067,6464
233,51984,4321.776,800.588,1041,7214
234,51984,2461.018,246.389,647,3130
235,51984,2642.495,783.061,748,4042
236,51984,5635.569,1885.838,1282,8694
237,51984,3614.808,1111.369,985,5437
238,51984,2315.406,228.397,641,2879
239,51984,4430.346,1586.071,1018,6982
240,51984,4978.082,2186.779,1218,8497
241,51984,4958.881,2284.506,1284,8898
242,51984,4876.514,2073.649,1327,9083
243,51984,5211.951,1825.219,1331,9085
244,51984,2111.489,471.678,682,3165
245,51984,3823.009,967.823,931,5603
246,51984,3741.812,1071.666,979,5563
247,51984,3617.674,1002.903,953,5796
248,51984,3769.888,968.063,983,6098
249,51984,2157.561,318.853,638,2741
250,51984,3405.207,734.557,861,4782
251,51984,3295.908,763.444,845,4791
252,51984,3182.223,747.435,869,4637
253,51984,3063.936,712.357,836,4453
254,51984,2955.445,675.565,861,4423
255,51984,2844.665,641.811,832,4369
256,51984,2735.483,607.802,804,4094
257,51984,2637.368,578.652,802,4049
258,51984,2537.279,551.385,771,3808
259,51984,2448.547,526.433,769,3695
260,51984,2365.063,500.818,742,3546
261,51984,2282.208,475.095,693,3429
262,51984,2200.444,448.661,700,3284
263,51984,2133.162,432.221,683,3165
264,51984,2050.362,426.055,700,3037
265,51984,1977.01,434.585,673,2947
266,51984,1922.108,437.82,680,2855
267,51984,1866.464,423.936,625,2849
268,51984,1818.199,406.852,664,2737
269,51984,1769.748,386.881,614,2663
270,51984,1726.979,373.375,616,2595
271,51984,1684.289,364.476,622,2505
272,51984,1643.674,356.782,635,2480
273,51984,1601.178,347.062,624,2368
274,51984,1568.792,340.869,585,2317
275,51984,1535.733,337.924,588,2226
276,51984,1508.075,334.275,598,2180
277,51984,1479.627,330.222,572,2135
278,51984,1452.868,324.545,582,2085
279,51984,1425.364,317.696,563,2058
280,51984,1407.528,314.002,589,2031
281,51984,1380.776,309.903,564,1993
282,51984,1355.693,310.128,563,1974
283,51984,1329.365,308.731,552,1941
284,51984,1302.207,305.925,564,1934
285,51984,1276.411,299.737,563,1874
286,51984,1259.336,287.919,550,1839
287,51984,1336.455,230.397,541,1869
288,51984,1144.292,126.422,520,1470
289,51984,960.268,82.217,474,1162
290,51984,1127.447,125.323,491,1400
291,51984,1125.924,127.666,509,1407
292,51984,1120.373,128.513,482,1409
293,51984,1109.335,137.841,502,1423
294,51984,1099.422,153.721,494,1439
295,51984,1090.253,164.664,493,1421
296,51984,1086.035,174.003,486,1441
297,51984,1078.804,180.113,496,1453
298,51984,1075.807,184.985,510,1458
299,51984,1069.194,187.232,496,1485
300,51984,1059.013,187.778,490,1467
301,51984,1048.947,186.774,493,1470
302,51984,1051.175,190.505,501,1484
303,51984,1074.451,207.874,497,1486
304,51984,1129.267,253.833,492,1635
305,51984,1223.356,340.64,517,1914
306,51984,1345.107,457.669,538,2279
307,51984,1470.532,578.986,565,2645
308,51984,1578.491,680.466,575,2888
309,51984,1655.197,751.56,609,3065
310,51984,1708.368,797.438,625,3130
311,51984,1745.052,829.145,651,3233
312,51984,1764.7,847.464,692,3254
313,51984,1776.017,859.975,670,3234
314,51984,1790.94,873.82,683,3317
315,51984,1799.307,882.521,676,3322
316,51984,1794.674,883.55,666,3318
317,51984,1798.547,889.604,687,3280
318,51984,1797,892.699,691,3337
319,51984,1792.007,892.632,696,3348
320,51984,1784.235,890.464,694,3268
321,51984,1779.179,889.343,675,3296
322,51984,1776.643,889.371,668,3276
323,51984,1770.708,886.509,689,3276
324,51984,1758.828,879.317,676,3261
325,51984,1754.617,877.246,672,3205
326,51984,1744.768,871.275,675,3216
327,51984,1729.451,861.832,675,3201
328,51984,1720.176,857.322,668,3121
329,51984,1707.466,850.199,665,3168
330,51984,1694.278,841.951,649,3138
331,51984,1683.802,837.623,655,3136
332,51984,1668.166,828.561,645,3088
333,51984,1652.292,819.396,640,3048
334,51984,1638.272,812.15,646,3033
335,51984,1622.493,801.908,641,2991
336,51984,1603.238,789.78,626,2946
337,51984,1585.087,777.968,640,2915
338,51984,1564.281,764.779,620,2897
339,51984,1539.969,748.521,635,2805
340,51984,1516.819,733.847,612,2821
341,51984,1495.269,717.907,618,2758
342,51984,1475.651,704.739,610,2688
343,51984,1450.388,685.869,602,2692
344,51984,1427.669,670.201,597,2586
345,51984,1405.633,654.283,590,2588
346,51984,1382.105,636.865,565,2498
347,51984,1360.141,620.804,597,2498
348,51984,1337.822,603.853,589,2401
349,51984,1314.913,586.115,563,2366
350,51984,1294.158,570.887,577,2362
351,51984,1271.671,553.263,576,2285
352,51984,1248.836,535.225,571,2227
353,51984,1228.485,519.871,561,2265
354,51984,1206.459,502.963,563,2135
355,51984,1184.831,486.582,555,2090
356,51984,1166.943,472.444,559,2031
357,51984,1147.658,458.197,542,2022
358,51984,1126.28,441.794,545,1962
359,51984,1110.136,429.401,538,1915
360,51984,1089.15,413.936,544,1870
361,51984,1076.095,403.665,538,1869
362,51984,1057.735,390.58,535,1803
363,51984,1040.909,378.81,516,1754
364,51984,1023.556,366.755,524,1736
365,51984,1009.615,356.556,513,1685
